"Average of U.S. metro areas of 1,000,000 to 2,499,999","Detroit-Warren-Livonia, MI Metro Area","Austin-Round Rock-San Marcos, TX Metro Area","Birmingham-Hoover, AL Metro Area","Buffalo-Niagara Falls, NY Metro Area","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","Cincinnati-Middletown, OH-KY-IN Metro Area","Cleveland-Elyria-Mentor, OH Metro Area","Columbus, OH Metro Area","Hartford-West Hartford-East Hartford, CT Metro Area","Indianapolis-Carmel, IN Metro Area","Jacksonville, FL Metro Area","Kansas City, MO-KS Metro Area","Las Vegas-Paradise, NV Metro Area","Louisville/Jefferson County, KY-IN Metro Area","Memphis, TN-MS-AR Metro Area","Milwaukee-Waukesha-West Allis, WI Metro Area","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","New Orleans-Metairie-Kenner, LA Metro Area","Oklahoma City, OK Metro Area","Orlando-Kissimmee-Sanford, FL Metro Area","Pittsburgh, PA Metro Area","Portland-Vancouver-Hillsboro, OR-WA Metro Area","Providence-New Bedford-Fall River, RI-MA Metro Area","Raleigh-Cary, NC Metro Area","Richmond, VA Metro Area","Rochester, NY Metro Area","Sacramento--Arden-Arcade--Roseville, CA Metro Area","Salt Lake City, UT Metro Area","San Antonio-New Braunfels, TX Metro Area","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
2494.28782,"4,327.8",2904.252111,816.1297423,1989.036088,1393.389248,1863.753294,2525.078149,1692.039022,1803.992788,1261.566897,2570.281456,2377.245335,3719.112853,1992.46043,3218.437351,1325.854727,1010.22853,1023.3813,2354.140195,2147.038361,1273.965367,4266.421821,4528.536721,1483.920179,1679.13962,261.5512808,5463.891413,4403.231751,3307.670221,4943.099381,5229.788977
2084.524697,"4,423.6",1556.244969,604.9518459,1785.476057,1148.364076,1386.476593,2233.000457,1496.98111,1786.383302,1417.159348,1593.940882,1875.508513,4606.817176,663.4269054,2889.641994,1426.998384,685.9141128,105.143,723.3790514,2878.008147,900.1747619,2320.780166,1677.10892,743.230386,1145.336457,371.2334211,5031.710871,3181.875831,2289.312442,7875.358825,6135.802906
2148.087996,"3,952.7",1821.131362,503.5442361,805.7974496,1175.59067,1591.721143,2465.276361,676.9654849,1622.047395,1606.259329,2290.355236,2598.648376,3642.70815,488.6394254,2243.670884,3404.169553,1565.31542,388.8803144,904.6404743,3246.714529,2149.930852,1274.225226,6258.629652,777.9208997,1219.309332,462.919656,4885.861116,2650.42504,2150.848404,5345.1378,4225.356119
2469.859589,"4,181.7",2491.432932,1052.278479,2707.838421,1220.932637,1587.826058,2082.403373,274.7766149,1593.735834,2682.431098,2143.156643,2550.068002,1952.219417,145.0468786,2212.668389,1979.452356,1515.510386,754.2945584,2098.022018,1518.53869,2149.950937,799.5653098,4792.673339,626.2510578,985.5318424,827.0370647,3621.945301,2317.882657,979.6892079,7633.46075,16799.16743
1811.566856,"3,536.0",2553.372325,680.9159591,3128.02883,1146.5619,1830.564735,2179.132607,456.9045008,899.5290742,1534.556966,893.8138486,2537.819315,,733.3170324,1116.580403,2529.979193,659.9028093,1478.1798,1643.239265,1412.46032,2122.834167,2173.982564,3200.103192,156.4406,1030.12399,432.3396868,4556.740901,2668.569359,1849.104426,5344.3565,3397.551402
1522.312742,"3,215.7",3208.378728,782.5228855,1481.437866,1438.610184,1717.048078,1258.766275,374.8202663,582.9318335,525.5577905,1007.649801,2127.324618,,965.0700454,860.8432905,1811.823197,1463.858069,1049.766382,4117.901718,1218.679826,1347.653811,632.3043999,767.7105707,419.6934,1542.278586,1085.5857,3333.560039,2705.775232,1694.690357,2426.661205,3720.478093
1166.965622,"2,836.5",2036.419803,451.7747487,911.9129456,1295.874629,1798.465439,1583.547262,101.0412645,1368.979268,1202.966843,797.7151087,2265.148555,,222.3616192,1460.105286,738.7806182,421.7110412,,1752.626666,2004.671052,1108.839608,1030.938082,840.4408634,238.8371878,999.584287,452.2750628,3504.840856,550.2284569,549.1824983,2845.305946,2474.39366
1086.73854,"3,318.9",1392.492957,497.0656474,592.1868039,1373.872634,1440.229472,1603.669579,257.4907476,399.0550374,567.9807624,561.9760854,1423.321825,,356.5012059,900.4762433,445.8735682,1019.281996,2557.4769,358.8648414,1738.998093,803.6088454,1896.572303,606.9656488,270.4433478,2356.864621,1643.4633,2297.680511,304.3299313,608.5318504,1645.351862,2681.52957
1272.261532,"2,972.6",522.2788511,105.4205519,1731.473146,1272.982243,2063.841505,2711.413059,156.1442907,6559.952779,1795.681203,224.962626,664.8545821,2191.426055,201.8141038,206.4456628,1487.569574,300.9315742,169.9924,176.1077138,291.8728239,1599.633116,1816.086792,1313.806805,160.2847655,827.6798115,129.6907437,2548.506451,307.9556088,150.4683225,3003.4709,3475.097898
829.6651663,"2,832.8",649.383649,336.4399776,2050.601079,1658.25311,1928.576258,3334.079781,912.5623534,274.4891223,361.0781155,300.2283399,236.6368817,1352.431957,124.7507552,1210.015554,466.3316838,545.8368878,1.1232,,1397.725339,1849.295663,112.3840739,1471.579714,,1359.541795,191.7781446,1306.650234,47.2537,260.1448887,,1150.782731
